feature,mean_importance
feature_6,-0.0026824930011173143
feature_7,-0.0008180940903806278
feature_3,-0.0005055730987142737
feature_2,-0.000420910701555699
feature_9,-0.00011736785678030381
feature_1,0.0009669387699919096
feature_8,0.0013838773677256055
feature_4,0.001460317551713619
feature_5,0.0021305040141497257
feature_12,0.012774768276905702
feature_16,0.04280919449758154
feature_13,0.04291374458058288
feature_11,0.05029254388869843
feature_15,0.06070519873902354
feature_14,0.06432601068247601
feature_10,0.16230545303146954
